腿 搁在办公桌上,办公桌
我不会像曾经一样为别人而脱衣,脱衣
我丢失了棉被,棉被
无能为力
让心休假也不收下你,休假
我可以彻夜不归交我想交的朋友,归交
把你相框移开摆满我最爱喝的红酒,相框
在家里开趴night till the morning
讲真的没有你生活也不会boring,生活
我再也不会优柔寡断处理关系若即若离,处理
让你成为我人生满分答卷的一道错题,错题
自从你走以后
还赖着不肯离开的回忆gets old,回忆
我只在乎我自己过的开心与否,与否
与酒与你都无关,无关
没有遗憾 我总得向前走,向前走
这故事中有一段 是你和我联手,联手
因为太繁华的夜晚让你整晚都无法入眠,入眠
你不想昙花一现就和梦境说再见,梦境
自信是你的行李,自信
让你定义概念,定义
你从未放弃,放弃
在每个难眠的夜,难眠
你还在途中
但现在你不再孤单
你需要FRESH TAPE,需要
陪伴你整个夜晚,陪伴
红黄绿三种颜色,红黄绿
你知道什么是代表前进,前进
竭尽你所能重生在这绝境,重生
就是我存在的证据,证据
有你们在我飞行脱离重力,重力
这首歌给我兄弟,首歌
要重情重义,重情
终于可以在这给你动力,动力
黎明的黑暗,黎明
让你觉得孤单,觉得
黑暗的一切
让自信生灵涂炭,生灵涂炭
我还在唱
我想我也可以更棒
就算是没人在听我也可以配唱,配唱
如果在生命开始时让我再次选择,生命
我一样坚持我的音乐我的饶舌,饶舌
一样叫YJ
让loser往后排队,排队
你一样可以做到,做到
做你自己才对
当你感到累了觉得无力感到困,感到
当你不再愿意相信别人只有恨,愿意
我只能怀疑,怀疑
你是不是个real man
我想你仔细看看面前这个real friend,看看
他比你更倒霉
比你更值得去憎恨,憎恨
他过去稚嫩但现在更想认真
伤口不会消除,伤口
它只会更深
但微笑可以保持,微笑
比曾经更真
Verse 1 泥鳅,泥鳅
你是否感觉到寒冷 他们都对你残忍,感觉
都是凡人 得不到上帝的蓝本,蓝本
总有人觉得自己是完人落入凡尘,凡尘
把你当传人 传教你怎么走出寒门,寒门
你可以说你从来不为得到谁的认可,认可
但从来不是你自己来区分败者胜者,败者
真的认了 不会再费力呼喊 这英雄孤胆,孤胆
布满 陷阱要过该怎么铺满,铺满
手指手势 都在仇视丑事 无论投资投食 ok goes both,投食
都有深度 都深入 撑住利益的分布,撑住
我经历太早但我精力太好,精力
我心地太好但不轻易败倒
说唱用的是嘴巴不是链子,链子
没有链子 没有限制 只有偏执 只有面子,偏执
说要看清楚自己但是你的镜头前置,前置
电视随便放什么我要看到现实,电视
不当骗子 长好见识 棺材里的歌不变质,骗子
我的手里放块冰 高烧着脑门爆青筋,块冰
汗滴禾下土 疑是窗前的星星
体温三十八度七 时速二百一十一,体温
右脚踩下油门 引擎温度超金星,踩下
你提问“到哪里去 我们故事在哪里叙,提问
今夜同好在哪里聚 几星级的礼遇”,星级
我举手打住你 飙着肾上腺素 烧卡路里,飙着
过弯太急都没注意 身后已有警灯亮起,警灯
一种豺狼 披着 不同种类的皮,豺狼
我脑中浮现出 你告诉我 解决不了的迷,解决不了
好为人师的假绅士总是擅自装先知,绅士
道德绑架人质的你 贪吃贪吃,绑架人质
但我从不服从安置 而燕雀安知 鸿鹄之志,燕雀安知
写史诗 我的歌词靠知识,歌词
我的计划不搁置 打开车门的警报,搁置
看你是否真的敢为理想殉道,殉道
及格我一百你六十 我熊市是你的牛市,熊市
我洗掉你这块油渍 我生活是我的缪斯,油渍
我只在不惑里求知 请叫我普罗米修斯,不惑
我给你开电梯门进来楼层不要比我低,电梯门
Back to back 我在 火灾 现场安全着陆,着陆
熟透的flow 声色不露 的gold mode 等待XZT drop the bomb,熟透
我对神敬仰有信仰 不是muslin or monk,敬仰
物质不令我迷茫 歌词不复制 是原创,歌词
不用任何人护着 不和fakers穿一条裤子,裤子
讲究真实不讲故事 回头看墙壁上的数字,讲故事
Chuck Zigga Jiang超级 讲义气 Feezy不回忆,义气
King XZT硬着头皮 身处这个游戏,游戏
拿出手机 放几首SFG的diss,拿出
说唱用的是嘴巴不是链子,链子
没有链子 没有限制 只有偏执 只有面子,偏执
说要看清楚自己但是你的镜头前置,前置
电视随便放什么我要看到现实,电视
不当骗子 长好见识 棺材里的歌不变质,骗子
说爱你 爱你 在一起 就go with u
说真的 真的 marry me  oh  my super nice girl  x2
很开心睁开双眼看到她在我的怀里,睁开
我只想安静的看着她 真的离不开你,离不开
这样动都能不想动 偷偷的被掌控,不想
准备好了放下一切跟你一起走,放下
想法特别简单 也只有你能懂,想法
不用太多文字 也不用太多表示,不用
虽然爱就一个字但想对你
不善言辞  偶尔会让你失望,失望
可我只想用心把它写在洁白的纸上,用心
没有敷衍 也不会出现搪塞,搪塞
你知道你不喜欢的事情 我来不会都不强迫,喜欢
开心我陪你笑,开心
无聊我陪你闹
感觉太微妙,感觉
将你紧紧抱
这不是一场游戏 需要紧紧靠,游戏
说爱你 爱你 在一起 就go with u
说真的 真的 marry me  oh  my super nice girl  x2
我的每次失落 你总告诫我努力,失落
再每天的清晨都会收到你的鼓励,收到
我想你也许是老天爷赐给我的天使,赐给
只要有你出现爱从来没有停止,停止
一切也许是巧合 这样让你我相遇,巧合
在秋天的傍晚 好像刚过了雨季,好像
你扬起的嘴角 像黑夜中的火炬,火炬
爱你很危险 可我早不想躲避,躲避
累了有你背我走
想想和你白发的时候   x2,白发
我爱你 爱你 在一起 就 go with u
说真的 真的  marry me oh  my super nice girl  x2
爱你  爱你  just go with u
爱你  爱你  nice super girl
活了18年我给无数个人写过歌,个人
I remember 那个年少的我,年少
那些让我爱的恨得赢的输的
和那些让我长大的女孩的青涩,女孩
那时候不懂什么叫做爱与被爱,叫做
总是得到伤心加上冷漠,冷漠
我妈教我如何振作所以这,振作
最重要的一首歌 我写给我的妈,写给
她是我心中的茉莉花,茉莉花
我妈生我的时候 肚子上开过刀,妈生
强撑着痛苦听到我哭声后才敢晕倒,强撑
所有人都围着我但是她却被人冷落,冷落
没有人注意到她才是我真正的制造者,制造者
一个女人扛着家 千斤担子压着她,扛着
我也曾怀疑为什么她会嫁给我爸,嫁给
我甚至怨过为什么我爸没有骨气,骨气
本是男人的使命却丢给我妈所有压力,使命
小时候睡觉前 妈给我讲的童话故事,小时候
每一个故事都是给我成长的种子,种子
那时候我搞不懂什么是农夫与蛇,农夫
到现在妈是农夫有时候我就是那条蛇,农夫
我后悔惹她生气 她对我付出不求回报,后悔
18年的细心教导让我能在社会上落脚,落脚
这一段歌词是我回报你教我的感恩,歌词
我是迷失船只 妈就是黑暗中的一盏灯,一盏灯
面对我的希望 每次我给你的失望,失望
但你希望我不要失望 再一次给我期望,期望
我妈就像个战士 她什么都不怕,战士
但是她会担心我 当我每一次离开家,担心
青春期的我不听劝导 叛逆让我以为我已经长大,劝导
后悔让你皱纹变多 让黑发变成白发,黑发
我以为自己总是对的 认为你不理解 不懂我,理解
当我发现我错了感谢你还在我的背后,感谢
我总是想证明自己所以把事情给夸大,夸大
因为所有孩子都想成为大人们的骄傲,孩子
人生会有很多挫折 上帝希望你成长,挫折
您总会交代我要在失败中去吸取营养,吸取
我的梦想尽管付出不一定有回报,梦想
但是我想要努力能够把我梦想达到,梦想
所以我的妈妈请你不要感到焦躁,妈妈
我会像所有人证明我是你最大的骄傲,所有人
很多的时候我发现自己会迷失方向,时候
感谢你在我不知所措时给与我的光亮,给与
那么家的避风港 再苦再难也温暖,避风港
因为我习惯了在您的庇护下去生长,庇护
如果我有翅膀的话 妈 我一定带你飞,翅膀
如果我有梦想的话会不会来陪我追,梦想
如果您变老了我会在你身边照顾你,我会
让我陪着你不会感到孤单和不安,感到
旅途中的游子 被遗忘的浪子,游子
赶快回头因为你还有一个家,回头
叛逆的孩子 那能不能回去陪陪他,陪陪
就算你什么都没有至少你还有一个妈,就算
就算我完成了所有的梦想我也会把我妈带上,梦想
因为孩子是原上草 妈就是东升的太阳,原上
就算我完成了梦想我也会把妈带上,梦想
因为孩子是原上草 妈就是东升的太阳,原上
有得到也有失去,失去
平凡的一年
还记得在最初,记得
送给自己的承诺,送给
没想到在结束的时候,结束
却只剩沉默
告诉镜子里的他,镜子
你已经不小了
要学会衡量,衡量
什么才是最重要的
你可以无畏地宣泄,宣泄
内心的愤怒,愤怒
向天空大声呐喊,呐喊
我要走自己的路
去追自己想要的,想要
痛哭也欢笑着,欢笑
没有什么好担心的,担心
勇敢地奔跑着,奔跑
我还年轻我要过把瘾,过把瘾
直到一阵冰冷的大雨,大雨
把我打醒,打醒
我以为能够把握好,把握
自我的命运,命运
能够拥有她是我最大的幸运,拥有
当一切回到原点,原点
我才开始反省,反省
是不是只有伤痛
才能将自己唤醒,唤醒
我离他越来越远越来越远
我沿着你我走过的路,走过
一直地走
只是没有你在身边牵我的手,没有
回忆着说过的那些亲密的话,回忆
可惜我不是你想要的,想要
那一个他
你说你要去那个很远的地方,地方
那座城市是你心灵的去向,去向
还以为这些是
你跟我开的玩笑,玩笑
原来我在你心里
并没那么的重要
我还傻傻地去追你远去的车,傻傻
你离开后我重复,离开
听着你喜欢的歌,喜欢
或许是为了营造一种,营造
你还在的幻觉,幻觉
当世界恢复安静,安静
梦也随之幻灭,幻灭
就这样我学会了自言自语,学会
就这样我终于认识了自己,认识
那本已经翻到
最后一页的日历
就像现在的我
即将燃烧成灰烬,灰烬
我离他越来越远越来越远
这世界很大我很小,世界
口袋里却装着数不清的问号,问号
生命的过程中有无数的困扰,困扰
而我得到的答案却很少很少,答案
这世界很大我很小,世界
口袋里却装着数不清的问号,问号
生命的过程中有无数的困扰,困扰
而我得到的答案却很少很少,答案
这城市那么美 你却落下了眼泪,落下
我知道你很累 怪我不懂错与对,知道
逞强的不后悔 回忆全部烧成灰,逞强
除非一夜宿醉 不然不会说出sorry,宿醉
想问你my babe 明天我怎么面对,面对
每一个派对 你曾就在我周围,派对
我喝的太醉 过得一点不ok
讨厌的事你都做所以我什么也不会,讨厌
确定你不会 走,确定
如果我松开 口,松开
每当夜深人静只有我的时候,时候
我的衣袖 全都湿透,湿透
我们的距离变的 那么远,距离
摔破的镜子到底 怎么圆,摔破
一个人走在陌生却最熟悉那条街,陌生
无助的背影渴望时间过的快一些,无助
回家的路上还是经过哪家便利店,便利店
除了你不在我身边其实一切都没变,没变
一群人在夜店五彩灯光下狂欢,夜店
一个人格格不入表现的很难堪,难堪
朋友再劝 跟她再见 不要再恋,再恋
嘴上愉快的答应可是内心却步履蹒跚,内心
其实我承认 根本没反悔的必要,反悔
只是我遗憾 没划上完美的句号,句号
学着慢慢习惯 时间会贴出预告,贴出
走过下一段 可能或许还会遇到,走过
自己都嫉妒我们 是多般配,嫉妒
一直记住你走的 赤裸干脆,记住
拿着你的照片亲吻忘记你的心狠 眼神冰冷,亲吻
恍然大悟原来是在自我安慰
我们的距离变的 那么远,距离
摔破的镜子到底 怎么圆,摔破
如果开头就是 错的,开头
命中注定的 过客,过客
如果能拥有马良神笔改变结局的作者,神笔
篡改故事结尾 抛下闭嘴不挽留的弱者,篡改
放下自私互相给予不一味的等待获得,放下
选择机票换个城市却不知道去哪躲,机票
你和我的回忆放在心底套上密码锁,密码锁
时间不多清楚很快可能又要离开这,离开
放下仇恨的心里衷心的希望你快乐,衷心
收到一条简讯 这一次不去无视你,简讯
算不算新的险境 我旁边睡的不是你,险境
你的技巧又有几人会 诱惑我智力与纯粹,诱惑
谈到了对方时的笑容也已成泪,已成
还记得那个少年不务正业钻研说唱学还不上,不务正业
他只是想为你写首情歌 别来无恙,情歌
怎么突然之间不知道,知道
该怎么面对面
不知道怎样表达自己适应你的改变,表达
怎么才会让自己更能靠近你的身边,靠近
我忘了怎样呼吸,呼吸
甚至忘了现在的时间,时间
曾经我落下眼泪,落下
现在你来帮我捡
我想得很简单 清晨起来,起来
就是这样一直不断给你
输入能量源,输入
在你心情不好的时候才有电,心情
担心你会被骗,担心
把你心愿都实现,心愿
把生活负能量都赶走,赶走
充实着每一天
按你的要求,要求
家里有属于你的房间,房间
我也想每天醒来都能看见你,醒来
监督每天早睡不让你有黑眼圈,早睡
虽然你总是吵闹在我耳边,吵闹
曾经我落下的眼泪,落下
现在你来帮我捡
我想的很简单 清晨起来,起来
有你在我身边
一次就够
就让我把你抓住,就让
不管过去怎样
反正我是你的以后
你所有的安全都由我来保护,安全
在你需要拥抱的时候给你温度,拥抱
我不会让你受到伤害,受到
愿当你的光
给你我的心牵你的双手,双手
站在你身旁
不管未来怎样未知,未知
你也不要惊慌
所有你不喜欢做的都有我来挡,喜欢
时间 再走,时间
生活也是简单,生活
你想要的都拿去只要你喜欢,想要
我愿意为你去改变,愿意
做你的后盾给你安全感,安全感
不管是以前是以后现在
都还不算是太晚,不算
脑海里已经粘贴你的各种模样,粘贴
从没有过的认真,没有
除了你我都不要
喜欢你的调皮喜欢你对我笑,喜欢
我的肩膀也只留给你一个人靠,留给
曾经我的谁的眼泪,眼泪
现在你来把我牵
我想的很简单 情撑起来
我从来都不信关于那些神秘的算式,算式
也从来不会花言巧语在你身上复制,复制
在我的面前不需要你任何的修饰,修饰
确定你就是我心上的那一颗痣,确定
你担心的所有问题,担心
我可以说我不会,不会
你说你不会哪些,不会
那些也不需要你会,需要
我说的都是真的谁让你对我的味
全无所谓
你最珍贵
我承认你是我遇到的最美的梦,承认
害怕惊吓到你还怕别人触碰,惊吓
对你止不住的好一点,止不住
又总觉得不够,不够
你是我拼图里不可缺少的拼凑,拼图
只要你能在我身边我全部都承受,承受
你所有的好与不好我都可以接受,接受
我愿意为你加誓,加誓
对你永远保护,保护
只要有我你就不会再迷路,迷路
yeah 有没有想过,有没有
如果一切可以重来 你的选择 会是什么,选择
你眼前看一到切 的已经不可能 再 回 头,可能
不要怀疑 接下来就是我想说的 你们听着,怀疑
每天新闻都在播 每条街都有人说,条街
2012真的来了你到底有没有想过,有没有
突然降临大火 一切在火中埋没,埋没
这是位于哪里的地震报到,地震
那是一帮失去家的孩子的惊声尖叫,失去
每当我看到这个景象 我内心纠结沮丧,纠结
我愤怒地举起双手想要和上天对抗,举起
如果在这个世界只剩下最后的一秒,剩下
你会选择逃跑 还是要选择洗好你的脖子,洗好
等待中每一刻 时间它被切割,切割
残酷地推着我 慢慢地走过,走过
我们活在恐吓 过程中的折磨,恐吓
我想你告诉我 要怎么活,告诉
上帝给我打了一通电话 建议我们别再自说自话,上帝
我说谢谢你的好意 但根本就不会有人理你,好意
我们只想要自己顾着自己放纵自己的私欲,私欲
难道就没人听得出 其实它们都在哭,听得出
我真的不想认输 承认我们无助,认输
还相信 没关系 上天会给我勇气,勇气
海啸还有风暴 魔鬼在向你拥抱,拥抱
见到了棺材以后你才知道 泪水的味道,味道
最后的祈祷 在2012的最后一秒,祈祷
等待中每一刻 时间它被切割,切割
残酷地推着我 慢慢地走过,走过
我们活在恐吓 过程中的折磨,恐吓
我想你告诉我 要怎么活,告诉
生命的讨论我不幸参与,讨论
愤怒是单曲我做了专辑,单曲
我盯着城市里闪烁的霓虹,霓虹
骂这精彩于我有何关系,精彩
有个很爱我的妈妈,妈妈
讲就当你没有过爸爸,爸爸
很多时候 我会反击,反击
痛扁 重点 让他下次放尊重点,重点
哪怕有时怒气冲天 让别人都评论我疯癫,评论
以牙还牙的童年 童颜从没变依然像从前,童颜
好多权威者把你当小丑 又有好多既得利益 笑你好low,小丑
俗话讲 退步海阔天空要稳着走,退步
但我偏要跟深夜拥抱和漆黑吻个够,拥抱
又在恨什么
又责怪什么,责怪
纵你反复揉搓,揉搓
伤口难愈合,愈合
你想有人偷过你的梦
有人刺了你的痛
既然混沌无泽,无泽
那染成黑色,染成
作弊的比赛我糊涂参加,作弊
情怀就像家珍骗子看家,家珍
我盯着满世界耀眼的繁华,世界
想这浮夸到底几度掺假,浮夸
予你开心叫我宝宝,开心
予你异见上我镣铐,镣铐
小人以为我拿他没办法,小人
光脚不惧穿鞋我有何怕,穿鞋
走哪 瞅哪 哪里发言都要筹码,发言
偏我不是那种走马观花 你发卡就收卡,发卡
好像谁都是我仇家 好像不愿意把人手拉,好像
只是好多变节 好多臣服 好多简单变得满是城府,变节
有人说 人生得饶一处是一处,人生
然后转身在黑夜对戏演一出是一处,戏演
又在恨什么
又责怪什么,责怪
纵你反复揉搓,揉搓
伤口难愈合,愈合
你想有人偷过你的梦
有人刺了你的痛
既然混沌无泽,无泽
那染成黑色,染成
恨什么
怪什么
反复揉搓,揉搓
伤口难愈合,愈合
你想有人偷过你的梦
有人刺了你的痛
既然混沌无泽,无泽
那染成黑色,染成
喔 我们一起看着星空好轻松,星空
车里玩的小游戏你听从像井空,小游戏
你的购物车我全都清空响叮咚,购物车
在京东买丘比特当听众,丘比特
每天晚安 之前搭配晚餐,晚安
你的笑容 灿烂好像会反弹,笑容
变得贪婪 找不到你的翻版,翻版
全部韩剧 看完再陪你贪玩,贪玩
这个秘密,秘密
不用证明,不用
我比他们都优秀
你仔细听,仔细听
播放世界,播放
坏情绪全部收走we gotta go,收走
我开我的敞篷车准时找你,敞篷车
可能之前就是因为太过着迷,着迷
如果他真的每天能够给你惊喜真的情意我会把你封在我的心底,情意
baby 感情不该被第三者封喉,封喉
想牵着你的手
再带你一起走
我希望你懂我给的每个温柔,希望
这个秘密,秘密
不用证明,不用
我比他们都优秀
你仔细听,仔细听
播放世界,播放
坏情绪全部收走we gotta go,收走
你换上制服拿起教鞭丢我粉笔,教鞭
这感觉so dope 像用了coco,像用
我才不管你是谁的babygirl
这个秘密,秘密
不用证明,不用
我比他们都优秀
你仔细听,仔细听
播放世界,播放
坏情绪全部收走we gotta go,收走
都怪我
丢掉我,丢掉
故事的开端 有一个男孩,一个男孩
他怀揣着梦想来到这座城市的站台,怀揣
直到一天理想惨白 被现实惨败,惨败
才发现 原来 生活 是这么难捱,生活
他开始逃离这座城市的压抑 释放压力,逃离
却发现悲伤时刻都在加剧,加剧
他背起行囊 在离家很远的地方流浪,行囊
让走过的每寸土壤吸 收着他的忧伤,忧伤
从北纬三十度的东方一路向西 浪迹,浪迹
在天涯的每个角落留下他的足迹,天涯
在离家六千里的沙漠独自仰望星空,星空
有太多的烦恼心事偷偷藏在他的心中,心事
他和许多陌生人 诉说他的过往,陌生人
试图让曾经的人和事 在他生命中走个过场,过场
他在地图上把走过的地方全部都连在一起,走过
却发现 从头到尾都没有找到真正的自己,找到
没错 五年又一晃 而过 他依旧赚得 不多,没错
没过得体 面他每年回 乡也不 说
话不多 他习惯了沉默寡言 呆角落,角落
差不多 被忽视排斥在边缘 被冷落,冷落
同事都笑他活得像个乡野游 民,乡野
他从不关 心也不懂当下什么正在 流 行
他的手机破旧没有微博微信,微信
他的收入杯水车薪 他的衣着受人诟病,诟病
其实他无所谓这样的生活无关错对,无关
即使一整座城市没有属于他的座位,座位
即使一生他只能挤在十平米的毛坯,毛坯
挂瓦墙上的地图画满他流浪过的方位,流浪
无人知道他徒步 走过几万公里的路,走过
从日出驻足 到日落余晖布满山涧与枯树,余晖
他从不 被生计网住 名利罔顾,网住
他 一个人上路,上路
当流浪 变成一种习惯,流浪
孤单 日夜在身旁陪伴,陪伴
只有他的影子和他自己成为各自的一半,影子
拖着疲惫的身心,身心
他也时常怀念那些曾经的真心,怀念
可 时至今日
唯有流浪,流浪
才能寻得他的真经,寻得
How we do? 他们一直后悔,后悔
Fresh tape的克林都是dei派对的game,克林
花掉所有的money 带着自己去出游,花掉
记录旅途的经过像是牵着你的手,旅途
盯着海边的bikini脱掉外套,外套
我把身体藏进沙滩女生拉起警报,警报
跟随着航班起飞降落,降落
到达陌生的城市 its my new life,陌生
喜欢用蹩脚的当地语跟原住民打招呼,原住民
会买当地的蓝罐头PEPSI 把能量加满,加满
虽然对我 时间紧凑,时间
会把所有人事物记进脑中 用记忆拼凑,记进脑
带着墨镜去到海边参加世界性bikini show,墨镜
就算朝我看朝我走来都是我不够主动,走来
oh babe 你都名花有主
如果可以认识你 想带你去吃seafood,带你去
要是可以 精油往你身上涂,精油
我是你的坏小孩 做我的玛丽莲梦露,玛丽莲梦
所以请你带着我
带你去靠海的city,靠海
真的可以带着我
我想你会一直的陪我
所以请你抱着我
不会迟到带你兜风,兜风
真的可以抱着我
我会带你走,我会
早起的温度刚刚好带耳机我抽着烟,耳机
在桌上留下小费出门找哪里有便利店,便利店
想收集每个地方稀奇的小玩意,小玩意
想遇到昨天那个女孩有什么好主意,女孩
旅行做攻略 不无聊 不熟练,攻略
打车下个地点 我飞去你身边,飞去
讲真  偷拍你照片 总记着你身线,偷拍
坐在沙滩酒吧 想跟你见面,酒吧
oh babe 我们来自不同的国度,国度
旅行看风景想记住这个时刻不重复,旅行
沙滩只剩下我 吹着海风,海风
把你记进我的旅行日记 我想你都懂,记进
所以请你带着我
带你去靠海的city,靠海
真的可以带着我
我想你会一直的陪我
所以请你抱着我
不会迟到带你兜风,兜风
真的可以抱着我
我会带你走,我会
所以请你带着我
带你去靠海的city,靠海
真的可以带着我
我想你会一直的陪我
所以请你抱着我
不会迟到带你兜风,兜风
真的可以抱着我
我会带你走,我会
我知道这个道歉过了太久,道歉
当时的紧握在手,紧握
多希望时间快走,希望
曾以为能到白头,白头
把你放在我身后,放在
帮你遮挡所有难题还有那些争斗,遮挡
你曾说我没骨气
现在我一直在努力
每一步都嵌入土地,嵌入
用麦克风当做武器,麦克风
但生活并不如意,生活
大概我没学会独立,学会
分手就像是个伏笔,伏笔
我成为自己的奴隶,奴隶
我知道我是大坏蛋,大坏蛋
一起憧憬的图是我画太烂,太烂
当你挽着另一个人 呆在另一个门 接着另一个吻
大概我没他耐看
我开始每晚浑浑噩噩不停寻找解药,解药
把所有和你相关的东西都全部撇掉,撇掉
总感觉这种剧情好像哪本书有写到,写到
就好像睡了很长一觉,好像
结束的又莫名其妙 但是,结束
虽然回忆每时每刻都在不停闪烁,闪烁
你也曾告诉我成熟就是不能软弱,告诉
可是未来真的难说 就趁我还没玩脱,没玩脱
我坚强的性格突然开始变得懒惰,坚强
你曾为我不惧万里
我也穿过枪林弹雨,枪林弹雨
还太天真的我认为幸福只要行动就能换取,太天真
我开始向你迈进 直到离得太近,迈进
现在我也只能慢慢看它消失殆尽,殆尽
lie to my self 这都只是演戏,演戏
我还该怎么叫 才能更完美演绎,演绎
就像这死沉的天气 我躲到地狱的边际,躲到
我开始对开心免疫你先往前走让我给你垫底,垫底
你要知道我是真的很卖力,卖力
我猜你可能因为我总这样嫌太腻,可能
可是你在我的世界没人能代替,代替
你要离开我也不会奇怪 没人能够怪你,奇怪
他们总说恋爱的人少了一些心机,心机
却不知哪里多了几分细腻,不知
他们总说你曾经一直保持着神秘,保持
现在似乎变得比较有趣,变得
他们总说
早晨起来你会分享首歌,首歌
无论晴天雨天只想谈谈你的心得,心得
说说你经历的坎坷,经历
再看看有多少路已经走过,走过
别过头叹口气再选票订个软卧,软卧
人生的路有迷茫,人生
还有大堆的繁琐,还有
你一件一件解决好像也不会很快乐,好像
但是 你要想清楚结果,结果
会否带来灾祸,会否
然后再三祈祷不要出事,祈祷
Say 南无阿弥陀佛,阿弥陀佛
你本来也不信佛,信佛
可你还是想利用宗教逃避你的过错,过错
或许你时而冷漠,冷漠
时而无心任何反驳,反驳
这个世界,世界
本来就分不出什么对错,对错
你不屑他们说的,不屑
只过自己的生活,生活
