lyric,topic
准备好了放下一切跟你一起走,爱情
想法特别简单 也只有你能懂,爱情
不用太多文字 也不用太多表示,爱情
虽然爱就一个字但想对你,爱情
不善言辞  偶尔会让你失望,爱情
可我只想用心把它写在洁白的纸上,爱情
没有敷衍 也不会出现搪塞,爱情
你知道你不喜欢的事情 我来不会都不强迫528910803,爱情
开心我陪你笑,爱情
无聊我陪你闹,爱情
感觉太微妙,爱情
将你紧紧抱,爱情
这不是一场游戏 需要紧紧靠,爱情
说爱你 爱你 在一起 就go with u,爱情
说真的 真的 marry me  oh  my super nice girl  x2,爱情
我的每次失落 你总告诫我努力,爱情
再每天的清晨都会收到你的鼓励,爱情
我想你也许是老天爷赐给我的天使,爱情
只要有你出现爱从来没有停止,爱情
一切也许是巧合 这样让你我相遇,爱情
在秋天的傍晚 好像刚过了雨季,爱情
你扬起的嘴角 像黑夜中的火炬,爱情
爱你很危险 可我早不想躲避,爱情
累了有你背我走,爱情
想想和你白发的时候   x2,爱情
我爱你 爱你 在一起 就 go with u,爱情
说真的 真的  marry me oh  my super nice girl  x2,爱情
爱你  爱你  just go with u,爱情
爱你  爱你  nice super girl,爱情
活了18年我给无数个人写过歌,亲情
I remember 那个年少的我,亲情
那些让我爱的恨得赢的输的,亲情
和那些让我长大的女孩的青涩,亲情
那时候不懂什么叫做爱与被爱,亲情
总是得到伤心加上冷漠,亲情
我妈教我如何振作所以这,亲情
最重要的一首歌 我写给我的妈,亲情
她是我心中的茉莉花,亲情
我妈生我的时候 肚子上开过刀,亲情
强撑着痛苦听到我哭声后才敢晕倒,亲情
所有人都围着我但是她却被人冷落,亲情
没有人注意到她才是我真正的制造者,亲情
一个女人扛着家 千斤担子压着她,亲情
我也曾怀疑为什么她会嫁给我爸,亲情
我甚至怨过为什么我爸没有骨气,亲情
本是男人的使命却丢给我妈所有压力,亲情
小时候睡觉前 妈给我讲的童话故事,亲情
每一个故事都是给我成长的种子,亲情
那时候我搞不懂什么是农夫与蛇,亲情
到现在妈是农夫有时候我就是那条蛇,亲情
我后悔惹她生气 她对我付出不求回报,亲情
18年的细心教导让我能在社会上落脚,亲情
这一段歌词是我回报你教我的感恩,亲情
我是迷失船只 妈就是黑暗中的一盏灯,亲情
面对我的希望 每次我给你的失望,亲情
但你希望我不要失望 再一次给我期望,亲情
我妈就像个战士 她什么都不怕,亲情
但是她会担心我 当我每一次离开家,亲情
青春期的我不听劝导 叛逆让我以为我已经长大,亲情
后悔让你皱纹变多 让黑发变成白发,亲情
我以为自己总是对的 认为你不理解 不懂我,亲情
当我发现我错了感谢你还在我的背后,亲情
我总是想证明自己所以把事情给夸大,亲情
因为所有孩子都想成为大人们的骄傲,亲情
人生会有很多挫折 上帝希望你成长,亲情
您总会交代我要在失败中去吸取营养,亲情
我的梦想尽管付出不一定有回报,亲情
但是我想要努力能够把我梦想达到,亲情
所以我的妈妈请你不要感到焦躁,亲情
我会像所有人证明我是你最大的骄傲,亲情
很多的时候我发现自己会迷失方向,亲情
感谢你在我不知所措时给与我的光亮,亲情
那么家的避风港 再苦再难也温暖,亲情
因为我习惯了在您的庇护下去生长,亲情
如果我有翅膀的话 妈 我一定带你飞,亲情
如果我有梦想的话会不会来陪我追,亲情
如果您变老了我会在你身边照顾你,亲情
让我陪着你不会感到孤单和不安,亲情
旅途中的游子 被遗忘的浪子,亲情
赶快回头因为你还有一个家,亲情
叛逆的孩子 那能不能回去陪陪他,亲情
就算你什么都没有至少你还有一个妈,亲情
就算我完成了所有的梦想我也会把我妈带上,亲情
因为孩子是原上草 妈就是东升的太阳,亲情
就算我完成了梦想我也会把妈带上,亲情
因为孩子是原上草 妈就是东升的太阳,亲情
有得到也有失去,成长
平凡的一年,成长
还记得在最初,成长
送给自己的承诺,成长
没想到在结束的时候,成长
却只剩沉默,成长
告诉镜子里的他,成长
你已经不小了,成长
要学会衡量,成长
什么才是最重要的,成长
你可以无畏地宣泄,成长
内心的愤怒,成长
向天空大声呐喊,成长
我要走自己的路,成长
去追自己想要的,成长
痛哭也欢笑着,成长
没有什么好担心的,成长
勇敢地奔跑着,成长
我还年轻我要过把瘾,成长
直到一阵冰冷的大雨,成长
把我打醒,成长
我以为能够把握好,成长
自我的命运,成长
能够拥有她是我最大的幸运,青春
当一切回到原点,青春
我才开始反省,青春
是不是只有伤痛,青春
才能将自己唤醒,青春
我离他越来越远越来越远,青春
我沿着你我走过的路,青春
一直地走,青春
只是没有你在身边牵我的手,青春
回忆着说过的那些亲密的话,青春
可惜我不是你想要的,青春
那一个他,青春
你说你要去那个很远的地方,青春
那座城市是你心灵的去向,青春
还以为这些是,青春
你跟我开的玩笑,青春
原来我在你心里,青春
并没那么的重要,青春
我还傻傻地去追你远去的车,青春
你离开后我重复,青春
听着你喜欢的歌,青春
或许是为了营造一种,青春
你还在的幻觉,青春
当世界恢复安静,青春
梦也随之幻灭,青春
就这样我学会了自言自语,青春
就这样我终于认识了自己,青春
那本已经翻到,青春
最后一页的日历,青春
就像现在的我,青春
即将燃烧成灰烬,青春
我离他越来越远越来越远,青春
这世界很大我很小,青春
口袋里却装着数不清的问号,青春
生命的过程中有无数的困扰,青春
而我得到的答案却很少很少,青春
这世界很大我很小,青春
口袋里却装着数不清的问号,青春
生命的过程中有无数的困扰,青春
而我得到的答案却很少很少,青春
这城市那么美 你却落下了眼泪,青春
我知道你很累 怪我不懂错与对,青春
逞强的不后悔 回忆全部烧成灰,青春
除非一夜宿醉 不然不会说出sorry,青春
想问你my babe 明天我怎么面对,青春
每一个派对 你曾就在我周围,青春
我喝的太醉 过得一点不ok,青春
讨厌的事你都做所以我什么也不会,青春
确定你不会 走,青春
如果我松开 口,青春
每当夜深人静只有我的时候,青春
我的衣袖 全都湿透,青春
我们的距离变的 那么远,青春
摔破的镜子到底 怎么圆,青春
一个人走在陌生却最熟悉那条街,青春
无助的背影渴望时间过的快一些,青春
回家的路上还是经过哪家便利店,青春
除了你不在我身边其实一切都没变,青春
一群人在夜店五彩灯光下狂欢,青春
一个人格格不入表现的很难堪,青春
朋友再劝 跟她再见 不要再恋,青春
嘴上愉快的答应可是内心却步履蹒跚,青春
其实我承认 根本没反悔的必要,青春
只是我遗憾 没划上完美的句号,失恋
学着慢慢习惯 时间会贴出预告,失恋
走过下一段 可能或许还会遇到,失恋
自己都嫉妒我们 是多般配,失恋
一直记住你走的 赤裸干脆,失恋
拿着你的照片亲吻忘记你的心狠 眼神冰冷,失恋
恍然大悟原来是在自我安慰,失恋
我们的距离变的 那么远,失恋
摔破的镜子到底 怎么圆,失恋
如果开头就是 错的,失恋
命中注定的 过客,失恋
如果能拥有马良神笔改变结局的作者,失恋
篡改故事结尾 抛下闭嘴不挽留的弱者,失恋
放下自私互相给予不一味的等待获得,失恋
选择机票换个城市却不知道去哪躲,失恋
你和我的回忆放在心底套上密码锁,失恋
时间不多清楚很快可能又要离开这,失恋
放下仇恨的心里衷心的希望你快乐,失恋
收到一条简讯 这一次不去无视你,失恋
算不算新的险境 我旁边睡的不是你,失恋
你的技巧又有几人会 诱惑我智力与纯粹,失恋
谈到了对方时的笑容也已成泪,失恋
还记得那个少年不务正业钻研说唱学还不上,爱情
他只是想为你写首情歌 别来无恙,爱情
怎么突然之间不知道,爱情
该怎么面对面,爱情
不知道怎样表达自己适应你的改变,爱情
怎么才会让自己更能靠近你的身边,爱情
我忘了怎样呼吸,爱情
甚至忘了现在的时间,爱情
曾经我落下眼泪,爱情
现在你来帮我捡,爱情
我想得很简单 清晨起来,爱情
就是这样一直不断给你,爱情
输入能量源,爱情
在你心情不好的时候才有电,爱情
担心你会被骗,爱情
把你心愿都实现,爱情
把生活负能量都赶走,爱情
充实着每一天,爱情
按你的要求,爱情
家里有属于你的房间,爱情
我也想每天醒来都能看见你,爱情
监督每天早睡不让你有黑眼圈,爱情
虽然你总是吵闹在我耳边,爱情
曾经我落下的眼泪,爱情
现在你来帮我捡,爱情
我想的很简单 清晨起来,爱情
有你在我身边,爱情
一次就够,爱情
就让我把你抓住,爱情
不管过去怎样,爱情
反正我是你的以后,爱情
你所有的安全都由我来保护,爱情
在你需要拥抱的时候给你温度,爱情
我不会让你受到伤害,爱情
愿当你的光,爱情
给你我的心牵你的双手,爱情
站在你身旁,爱情
不管未来怎样未知,爱情
你也不要惊慌,爱情
所有你不喜欢做的都有我来挡,爱情
时间 再走,爱情
生活也是简单,爱情
你想要的都拿去只要你喜欢,爱情
我愿意为你去改变,爱情
做你的后盾给你安全感,爱情
不管是以前是以后现在,爱情
都还不算是太晚,爱情
脑海里已经粘贴你的各种模样,爱情
从没有过的认真,爱情
除了你我都不要,爱情
喜欢你的调皮喜欢你对我笑,爱情
我的肩膀也只留给你一个人靠,爱情
曾经我的谁的眼泪,爱情
现在你来把我牵,爱情
我想的很简单 情撑起来,爱情
我从来都不信关于那些神秘的算式,爱情
也从来不会花言巧语在你身上复制,爱情
在我的面前不需要你任何的修饰,爱情
确定你就是我心上的那一颗痣,爱情
你担心的所有问题,爱情
我可以说我不会,爱情
你说你不会哪些,爱情
那些也不需要你会,爱情
我说的都是真的谁让你对我的味,爱情
全无所谓,爱情
你最珍贵,爱情
我承认你是我遇到的最美的梦,爱情
害怕惊吓到你还怕别人触碰,爱情
对你止不住的好一点,爱情
又总觉得不够,爱情
你是我拼图里不可缺少的拼凑,爱情
只要你能在我身边我全部都承受,爱情
你所有的好与不好我都可以接受,爱情
我愿意为你加誓,爱情
对你永远保护,爱情
只要有我你就不会再迷路,爱情
我们活在恐吓 过程中的折磨,憎恶
我想你告诉我 要怎么活,憎恶
生命的讨论我不幸参与,憎恶
愤怒是单曲我做了专辑,憎恶
我盯着城市里闪烁的霓虹,憎恶
骂这精彩于我有何关系,憎恶
有个很爱我的妈妈,憎恶
讲就当你没有过爸爸,憎恶
很多时候 我会反击,憎恶
痛扁 重点 让他下次放尊重点,憎恶
哪怕有时怒气冲天 让别人都评论我疯癫,憎恶
以牙还牙的童年 童颜从没变依然像从前,憎恶
好多权威者把你当小丑 又有好多既得利益 笑你好low,憎恶
俗话讲 退步海阔天空要稳着走,憎恶
但我偏要跟深夜拥抱和漆黑吻个够,憎恶
又在恨什么,憎恶
又责怪什么,憎恶
纵你反复揉搓,憎恶
伤口难愈合,憎恶
你想有人偷过你的梦,憎恶
有人刺了你的痛,憎恶
既然混沌无泽,憎恶
那染成黑色,憎恶
作弊的比赛我糊涂参加,憎恶
情怀就像家珍骗子看家,憎恶
我盯着满世界耀眼的繁华,憎恶
想这浮夸到底几度掺假,憎恶
予你开心叫我宝宝,憎恶
予你异见上我镣铐,憎恶
小人以为我拿他没办法,憎恶
光脚不惧穿鞋我有何怕,憎恶
走哪 瞅哪 哪里发言都要筹码,憎恶
偏我不是那种走马观花 你发卡就收卡,憎恶
好像谁都是我仇家 好像不愿意把人手拉,憎恶
只是好多变节 好多臣服 好多简单变得满是城府,憎恶
有人说 人生得饶一处是一处,憎恶
然后转身在黑夜对戏演一出是一处,憎恶
又在恨什么,憎恶
又责怪什么,憎恶
纵你反复揉搓,憎恶
伤口难愈合,憎恶
你想有人偷过你的梦,憎恶
有人刺了你的痛,憎恶
既然混沌无泽,憎恶
那染成黑色,憎恶
恨什么,憎恶
怪什么,憎恶
反复揉搓,憎恶
伤口难愈合,憎恶
你想有人偷过你的梦,憎恶
有人刺了你的痛,憎恶
既然混沌无泽,憎恶
那染成黑色,憎恶
喔 我们一起看着星空好轻松,耍帅
车里玩的小游戏你听从像井空,耍帅
你的购物车我全都清空响叮咚,耍帅
在京东买丘比特当听众,耍帅
每天晚安 之前搭配晚餐,耍帅
你的笑容 灿烂好像会反弹,耍帅
变得贪婪 找不到你的翻版,耍帅
全部韩剧 看完再陪你贪玩,耍帅
这个秘密,耍帅
不用证明,耍帅
我比他们都优秀,耍帅
你仔细听,耍帅
播放世界,耍帅
坏情绪全部收走we gotta go,耍帅
我开我的敞篷车准时找你,耍帅
可能之前就是因为太过着迷,耍帅
如果他真的每天能够给你惊喜真的情意我会把你封在我的心底,耍帅
baby 感情不该被第三者封喉,耍帅
想牵着你的手,耍帅
再带你一起走,耍帅
我希望你懂我给的每个温柔,耍帅
这个秘密,耍帅
不用证明,耍帅
我比他们都优秀,耍帅
你仔细听,耍帅
播放世界,耍帅
坏情绪全部收走we gotta go,耍帅
你换上制服拿起教鞭丢我粉笔,耍帅
这感觉so dope 像用了coco,耍帅
我才不管你是谁的babygirl,耍帅
这个秘密,耍帅
不用证明,耍帅
我比他们都优秀,耍帅
你仔细听,耍帅
播放世界,耍帅
坏情绪全部收走we gotta go,耍帅
都怪我,耍帅
丢掉我,耍帅
故事的开端 有一个男孩,失败
他怀揣着梦想来到这座城市的站台,失败
直到一天理想惨白 被现实惨败,失败
才发现 原来 生活 是这么难捱,失败
他开始逃离这座城市的压抑 释放压力,失败
却发现悲伤时刻都在加剧,失败
他背起行囊 在离家很远的地方流浪,失败
让走过的每寸土壤吸 收着他的忧伤,失败
从北纬三十度的东方一路向西 浪迹,失败
在天涯的每个角落留下他的足迹,失败
在离家六千里的沙漠独自仰望星空,失败
有太多的烦恼心事偷偷藏在他的心中,失败
他和许多陌生人 诉说他的过往,失败
试图让曾经的人和事 在他生命中走个过场,失败
他在地图上把走过的地方全部都连在一起,失败
却发现 从头到尾都没有找到真正的自己,失败
没错 五年又一晃 而过 他依旧赚得 不多,失败
没过得体 面他每年回 乡也不 说,失败
话不多 他习惯了沉默寡言 呆角落,失败
差不多 被忽视排斥在边缘 被冷落,失败
同事都笑他活得像个乡野游 民,失败
他从不关 心也不懂当下什么正在 流 行,失败
他的手机破旧没有微博微信,失败
他的收入杯水车薪 他的衣着受人诟病,失败
其实他无所谓这样的生活无关错对,失败
即使一整座城市没有属于他的座位,失败
即使一生他只能挤在十平米的毛坯,失败
挂瓦墙上的地图画满他流浪过的方位,失败
无人知道他徒步 走过几万公里的路,失败
从日出驻足 到日落余晖布满山涧与枯树,失败
他从不 被生计网住 名利罔顾,失败
他 一个人上路,失败
当流浪 变成一种习惯,失败
孤单 日夜在身旁陪伴,失败
只有他的影子和他自己成为各自的一半,失败
拖着疲惫的身心,失败
他也时常怀念那些曾经的真心,失败
可 时至今日,失败
唯有流浪,失败
才能寻得他的真经,失败
How we do? 他们一直后悔,耍帅
Fresh tape的克林都是dei派对的game,耍帅
花掉所有的money 带着自己去出游,耍帅
记录旅途的经过像是牵着你的手,耍帅
盯着海边的bikini脱掉外套,耍帅
我把身体藏进沙滩女生拉起警报,耍帅
跟随着航班起飞降落,耍帅
到达陌生的城市 its my new life,耍帅
喜欢用蹩脚的当地语跟原住民打招呼,耍帅
会买当地的蓝罐头PEPSI 把能量加满,耍帅
虽然对我 时间紧凑,耍帅
会把所有人事物记进脑中 用记忆拼凑,耍帅
带着墨镜去到海边参加世界性bikini show,耍帅
就算朝我看朝我走来都是我不够主动,耍帅
oh babe 你都名花有主,耍帅
如果可以认识你 想带你去吃seafood,耍帅
要是可以 精油往你身上涂,耍帅
我是你的坏小孩 做我的玛丽莲梦露,耍帅
所以请你带着我,耍帅
带你去靠海的city,耍帅
真的可以带着我,耍帅
我想你会一直的陪我,耍帅
所以请你抱着我,耍帅
不会迟到带你兜风,耍帅
真的可以抱着我,耍帅
我会带你走,耍帅
早起的温度刚刚好带耳机我抽着烟,耍帅
在桌上留下小费出门找哪里有便利店,耍帅
想收集每个地方稀奇的小玩意,耍帅
想遇到昨天那个女孩有什么好主意,耍帅
旅行做攻略 不无聊 不熟练,耍帅
打车下个地点 我飞去你身边,耍帅
讲真  偷拍你照片 总记着你身线,耍帅
坐在沙滩酒吧 想跟你见面,耍帅
oh babe 我们来自不同的国度,耍帅
旅行看风景想记住这个时刻不重复,耍帅
沙滩只剩下我 吹着海风,耍帅
把你记进我的旅行日记 我想你都懂,耍帅
所以请你带着我,耍帅
带你去靠海的city,耍帅
真的可以带着我,耍帅
我想你会一直的陪我,耍帅
所以请你抱着我,耍帅
不会迟到带你兜风,耍帅
真的可以抱着我,耍帅
我会带你走,耍帅
所以请你带着我,耍帅
带你去靠海的city,耍帅
真的可以带着我,耍帅
我想你会一直的陪我,耍帅
所以请你抱着我,耍帅
不会迟到带你兜风,耍帅
真的可以抱着我,耍帅
我会带你走,耍帅
我知道这个道歉过了太久,耍帅
当时的紧握在手,耍帅
多希望时间快走,耍帅
曾以为能到白头,耍帅
把你放在我身后,耍帅
帮你遮挡所有难题还有那些争斗,耍帅
lie to my self 这都只是演戏,讨厌
我还该怎么叫 才能更完美演绎,讨厌
就像这死沉的天气 我躲到地狱的边际,讨厌
我开始对开心免疫你先往前走让我给你垫底,讨厌
你要知道我是真的很卖力,讨厌
我猜你可能因为我总这样嫌太腻,讨厌
可是你在我的世界没人能代替,讨厌
你要离开我也不会奇怪 没人能够怪你,讨厌
他们总说恋爱的人少了一些心机,讨厌
却不知哪里多了几分细腻,讨厌
他们总说你曾经一直保持着神秘,讨厌
现在似乎变得比较有趣,讨厌
他们总说,讨厌
早晨起来你会分享首歌,讨厌
无论晴天雨天只想谈谈你的心得,讨厌
说说你经历的坎坷,讨厌
再看看有多少路已经走过,讨厌
别过头叹口气再选票订个软卧,讨厌
人生的路有迷茫,讨厌
还有大堆的繁琐,讨厌
你一件一件解决好像也不会很快乐,讨厌
但是 你要想清楚结果,讨厌
会否带来灾祸,讨厌
然后再三祈祷不要出事,讨厌
Say 南无阿弥陀佛,讨厌
你本来也不信佛,讨厌
可你还是想利用宗教逃避你的过错,讨厌
或许你时而冷漠,讨厌
时而无心任何反驳,讨厌
这个世界,讨厌
本来就分不出什么对错,讨厌
你不屑他们说的,讨厌
只过自己的生活,讨厌
在旁人看来你好像活的十分洒脱,讨厌
但其实并非如此,讨厌
你停止不了犯错,讨厌
也许你该静下心来听听他们怎么说,讨厌
他们总说恋爱的人少了一些心机,讨厌
却不知哪里多了几分细腻,讨厌
他们总说你曾经一直保持着神秘,讨厌
现在似乎变得比较有趣,讨厌
他们总说×6,讨厌
要怎么做才会fine,讨厌
苦尽甘来,讨厌
逍遥自在,讨厌
什么样的人生最精彩,讨厌
当列车开动的一刹那,讨厌
心里不免热血澎湃,讨厌
拨通和爱人的电话,讨厌
一字一句都太无奈,讨厌
总抱怨太 无奈,讨厌
谁的人生不 失败,讨厌
还总是倔 强的像个未出世的小孩,讨厌
分不清什么是wrong,讨厌
更不懂什么是right,讨厌
直到自己所追求的事物都慢慢没了情怀,讨厌
不要对朋友不理不睬 友谊出现了雾霾,讨厌
积攒多年的感情不能被任性给破坏,讨厌
那就烦恼抛开 把忧愁全都打败,讨厌
珍惜现在拥有的 不要再刻意去伤害,讨厌
baby 你的甜美 是我喜欢的模样,爱情
我明白你的珍贵 就像是我的心脏,爱情
带着酒精的香味 红色的情趣服装,爱情
你就像朵玫瑰 脖子上挂着铃铛,爱情
就让我帮你升温陪你过圣诞 hey,爱情
但是我有可能会显得不耐烦,爱情
因为我想对你说,爱情
我想对你说,爱情
冻的感冒了不买药,爱情
自己成为了自己do myself,爱情
不管圣诞节还是平安夜每一天都过得像你生日,爱情
给你唱首歌昨晚熬夜写看我的眼神多真挚,爱情
god damn 又到Christmas,爱情
我的礼物还没准备呢,爱情
我该送什么？哦对了,爱情
我要干点别人不会的,爱情
圣诞快乐她们乐的快,爱情
三国杀麻将扑克牌,爱情
等我送走了上一个我就来~,爱情
baby 你的甜美 是我喜欢的模样,爱情
我明白你的珍贵 就像是我的心脏,爱情
你就像朵玫瑰 脖子上挂着铃铛,爱情
但是我有可能会显得不耐烦,爱情
因为我想对你说,爱情
我想对你说,爱情
他出生在97年十月 下着雪的那个暖冬,成长
他第一次哭或许是对这个世界太过陌生,成长
但他那时笑的不勉强 也不为任何人才流泪,成长
他在刚经历过痛苦的母亲的怀抱里安详的入睡,成长
那是他最幸福的时光 虽然很短暂,成长
却没人骂他没出息 是傻逼 或者懒蛋,成长
他在幼儿园从来不羡慕别人会开车接小孩回家,成长
他爸爸把他举过头顶那画面停刻在夕阳下,成长
他6岁那年 渐渐开始懂事,成长
